code,name
1973,ＮＥＣネッツエスアイ
2138,クルーズ
2303,ドーン
2306,ビック東海
2307,クロスキャット
2310,イーシー・ワン
2315,カイカ
2317,システナ
2321,ソフトフロントホールディングス
2323,ｆｏｎｆｕｎ
2326,デジタルアーツ
2327,新日鉄住金ソリューションズ
2329,東北新社
2330,フォーサイド
2332,クエスト
2333,ジー・モード
2335,キューブシステム
2338,ファステップス
2345,アイスタディ
2347,アイ・ビー・イーホールディングス
2349,エヌアイデイ
2350,オックスホールディングス
2351,ＡＳＪ
2352,エイジア
2354,安川情報システム
2355,ＳＢＩネットシステムズ
2356,ＴＣＢホールディングス
2359,コア
2360,ウィーヴ
2411,ゲンダイエージェンシー
2423,ジェイエムテクノロジー
2484,夢の街創造委員会
2665,三井情報
2799,パイオン
3040,ソリトンシステムズ
3042,セキュアヴェイル
3371,ソフトクリエイトホールディングス
3585,トムス・エンタテインメント
3620,デジタルハーツ
3622,ネットイヤーグループ
3623,ビリングシステム
3624,アクセルマーク
3625,テックファームホールディングス
3626,ＴＩＳ
3627,ネオス
3628,データホライゾン
3629,クロス・マーケティング
3630,電算システム
3632,グリー
3633,ＧＭＯペパボ
3634,ソケッツ
3635,コーエーテクモホールディングス
3636,三菱総合研究所
3639,ボルテージ
3640,電算
3641,パピレス
3644,１ｓｔホールディングス
3645,メディカルネット
3646,駅探
3647,ジー・スリーホールディングス
3648,ＡＧＳ
3649,ファインデックス
3651,トライアンフコーポレーション
3652,ディジタルメディアプロフェッショナル
3653,モルフォ
3654,ヒト・コミュニケーションズ
3655,ブレインパッド
3656,ＫＬａｂ
3657,ポールトゥウィン・ピットクルーホールディングス
3658,イーブックイニシアティブジャパン
3659,ネクソン
3660,アイスタイル
3661,エムアップ
3662,エイチーム
3663,アートスパークホールディングス
3664,モブキャスト
3665,エニグモ
3666,テクノスジャパン
3667,ｅｎｉｓｈ
3668,コロプラ
3669,モバイルクリエイト
3670,協立情報通信
3671,ソフトマックス
3672,オルトプラス
3673,ブロードリーフ
3674,オークファン
3675,クロス・マーケティンググループ
3676,ハーツユナイテッドグループ
3677,システム情報
3678,メディアドゥ
3679,じげん
3680,ホットリンク
3681,ブイキューブ
3682,エンカレッジ・テクノロジ
3683,サイバーリンクス
3685,みんなのウェディング
3686,ディー・エル・イー
3687,フィックスターズ
3688,ＶＯＹＡＧＥ　ＧＲＯＵＰ
3689,イグニス
3690,ロックオン
3691,リアルワールド
