code,name
ACIW,ACIワールドワイド
ADT,ADT
ARM,ARMホールディングス
ARMH,ARMホールディングス
BMC,BMCソフトウェア
CA,CA Inc.
CDI,CDI
CDK,CDKグローバル
DSPG,DSPグループ
DST,DSTシステムズ
DTSI,DTS
EPAM,EPAMシステムズ
EQ,EQ
MOLG,MOLグローバル
PAR,PARテクノロジー
PCCC,PCコネクション
PTC,PTC
QTWO,Q2ホールディングス
SAP,SAP
SPSC,SPSコマース
SSNC,SS&Cテクノロジーズ・ホールディングス
TSRI,TSR
YHOO,Yahoo!
PEGA,ぺガシステムズ
IRM,アイアンマウンテン
ISS,アイソフトストーン・ホールディングス
ATVI,アクティビジョン・ブリザード
AGYS,アジリシス
AZPN,アスペン・テクノロジー
ATTU,アチュニティ
UPLD,アップランド・ソフトウェア
AAPL,アップル
TEAM,アトラシアン
ADBE,アドビシステムズ
ADVS,アドベント・ソフトウェア
DOX,アムドックス・リミテッド
USAT,アメリカンテクノロジーズ
AMSWA,アメリカン・ソフトウェア
ULTI,アルティメット・ソフトウェア・グループ
GOOG,アルファベット
ANSS,アンシス
AMBA,アンバレラ
UPIP,アンワイヤード・プラネット
AVV,アヴィバ・グループ
YELP,イェルプ
IMMR,イマージョン・コーポレーション
ININ,インタラクティブ・インテリジェンスグループ
ICLD,インタークラウド・システムズ
IGT,インターナショナル・ゲーム・テクノロジー
INAP,インターナップ・ネットワーク・サービス
IDN,インテリチェック・モビリーサ
IMPV,インパーバ
PI,インピンジ
INFY,インフォシス
INFA,インフォマティカ・コーポレーション
LAB,インペラス・テクノロジーズ
PLUS,イープラス
EBAY,イーベイ
AVAV,エアロバイロンメント
EQIX,エクイニクス
EXA,エクサ
ET,エクザクトターゲット
EXPE,エクスペディア
ENOC,エナノック
EBIX,エビックス
EVOL,エボルビング・システムズ
ELLI,エリーメイ
ERTS,エレクトロニック・アーツ
EA,エレクトロニック・アーツ
EDP,エレクトロニック・データ・プロセッシング
ENV,エンベストネット
OIBR.C,オイS.A.
ORCL,オラクル
ADSK,オートデスク
AMAP,オートナビ・ホールディングス
ALV,オートリブ
OVRL,オーバーランドストレージ
OPWR,オーパワー
OTEX,オープン・テキスト・コーポレーション
KYAK,カヤック・ソフトウェア・コーポレーション
GWRE,ガイドワイヤ・ソフトウェア
GRMN,ガーミン
KONE,キングトーン・ワイヤレスインフォ・ソリューション・ホールディング
QTM,クァンタム・コーポレーション
QSII,クオリティ・システムズ
CKSW,クリックソフトウェア・テクロノジーズ
QLIK,クリック・テクノロジーズ
GRUB,グラブハブ
GLUU,グル・モバイル
GRPN,グルーポン
CRCM,ケア・コム
CDNS,ケイデンス・デザイン・システムズ
CTSH,コグニザント・テクノロジー・ソリューションズ
CGNX,コグネックス
CVLT,コムボールト・システムズ
CNQR,コンカー・テクノロジーズ
CSC,コンピュータサイエンス
CDRB,コード・レブル
CSOD,コーナーストーン・オン・デマンド
CBR,サイバー
CYBR,サイバーアーク・ソフトウェア
CYRN,サイレン
SABA,サバ・ソフトウェア
SPRT,サポート・ドットコム
XLNX,ザイリンクス
ZAYO,ザヨ・グループ・ホールディングス
SIGM,シグマ・デザイン
CTXS,シトリックス・システムズ
SYNA,シナプティクス
SNX,シネックス
SNPS,シノプシス
SFLY,シャッターフライ
GAME,シャンダ・ゲームズ・リミテッド
SHOP,ショッピファイ
SNCR,シンクロノス・テクノロジーズ
SYNT,シンテル
SY,シンビリティ・ソリューションズ
CVT,シーベント
CRUS,シーラス・ロジック
JIVE,ジャイブソフトウェア
ZG,ジローグループ
ZNGA,ジンガ
ABCO,ジ・アドバイザリー・ボード
SQ,スクエア
SR,スタンダード・レジスター
ANY,スフィア3D
SPLK,スプランク
SMT,スマート・テクノロジー
SPCB,スーパーコム
CRM,セールスフォース・ドットコム
ZEN,ゼンデクスク
SLH,ソレラ・ホールディングス
Z,ゾロー
DATA,タブロー・ソフトウェア
TLND,タレンド
DNB,ダン＆ブラッドストリート
CHKP,チェック・ポイント・ソフトウェア・テクノロジーズ
CHGG,チェッグ
IMOS,チップモス・テクノロジーズ（バミューダ）
ECOM,チャンネルアドバイザー
TUBE,チューブモーグル
TU,テラス
TDC,テラデータ・コーポレーション
TTEC,テレテック・ホールディングス
TNAV,テレナビ
DWCH,データウォッチ
TISA,トップ・イメージ・システムズ
TRD,トライアド・グループ
TZOO,トラベルズー
HILL,ドットヒルシステムズ
NATI,ナショナル・インスツルメンツ
NASA,ナスター
NANO,ナノメトリクス
NUAN,ニュアンス・コミュニケーションズ
NEWR,ニュー・レリック
NMBL,ニンブル・ストレージ
NTAP,ネットアップ
NETE,ネットエレメント
N,ネットスイート
NFLX,ネットフリックス
NVTL,ノバテル・ワイヤレス
NIR,ノーブル・アイアン
HPY,ハートランド・ペイメント・システムズ
BYI,バリー・テクノロジー
VRNS,バロニスシステムズ
RATE,バンクレイト
VIT,バンスインフォ・テクノロジーズ
VRTU,バートゥサ・コーポレーション
P,パンドラ・メディア
PCYG,パークシティグループ
PRFT,パーフィシェント
VIPS,ビップショップホールディングス
BSQR,ビースクエア
PBI,ピッツニー・ボウズ
FIVN,ファイブ9
FNJN,フィンジャン・ホールディングス
FICO,フェア・アイザック
FIC,フェア・アイザック・コーポレーション
FB,フェイスブック
FORTY,フォーミュラ・システム（1985）
FLT,フリートコア・テクノロジーズ
FLTX,フリートマティクス・グループ
FLR,フルーア
VMW,ブイエムウェア
BLKB,ブラックバウド
LPS,ブラック・ナイト・インフォサーブ
BSFT,ブロードソフト
BVSN,ブロードビジョン
PGI,プレミア・グローバル・サービス
PRGS,プログレス・ソフトウェア
PRO,プロス・ホールディングス
HSTM,ヘルスストリーム
PAYC,ペイコム・ソフトウェア
PCTY,ペイロシティ・ホールディング・コーポレーション
HOLI,ホリシス・オートメーション・テクノロジーズ
HDP,ホートンワークス
VCRA,ボセラ・コミュニケーションズ
BOX,ボックス
EPAY,ボトムライン・テクノロジーズ
VLTC,ボルタリ
PLCM,ポリコム
MSTR,マイクロストラテジー
MSFT,マイクロソフト
MVIS,マイクロビジョン
MITK,マイテック・システムズ
MAG,マグネテック
MATR,マターサイト・コーポレーション
MXL,マックスリニア
MTLS,マテリアライズ
MRIN,マリンソフトウェア
MKTO,マルケト
MANH,マンハッタン・アソシエイツ
MG,ミストラス・グループ
MELI,メリケーデーリブラ
MSI,モトローラソリューションズ
MOBL,モバイルアイアン
MBLY,モービルアイ
UIS,ユニシス
UTSI,ユーティースターコムホールディングス
UBIC,ユービック
EEFT,ユーロネット・ワールドワイド
YDLE,ヨドリー
LVWD,ライブワールド
LXFT,ラクスオフト・ホールディング
RKUS,ラッカス・ワイヤレス
RSYS,ラディシス・コーポレーション
RPD,ラピッド７
RNWK,リアルネットワークス
RP,リアルページ
LQDT,リクイディティ・サービス
RNET,リグネット
BBRY,リサーチ・イン・モーション・リミテッド
LNKD,リンクトイン
RNG,リングセントラル
REIS,レイス
MKTG,レスポンシス
RHT,レッドハット
FUEL,ロケット・フュエル
ROVI,ロヴィ
OHGI,ワン・ホライゾン・グループ
WDAY,ワークディ
VGGL,ヴィグル
TUDO,土豆網
SOHU,捜狐
SINA,新浪公司
BIDU,百度公司
RENN,連錬
LDOS,零度ス・ホールディングス
